Kind,Name,PercentLackOfCohesionModified,PercentLackOfCohesion,LCOM,CohesionLevel
Static Class,org.apache.commons.collections.map.AbstractReferenceMap.ReferenceKeySetIterator,0,0,0,High
Static Class,org.apache.commons.collections.map.AbstractReferenceMap.ReferenceMapIterator,0,0,0,High
Static Class,org.apache.commons.collections.map.AbstractReferenceMap.ReferenceValues,0,0,0,High
Static Class,org.apache.commons.collections.map.AbstractReferenceMap.ReferenceValuesIterator,0,0,0,High
Static Class,org.apache.commons.collections.map.AbstractReferenceMap.SoftRef,0,0,0,High
Static Class,org.apache.commons.collections.map.AbstractReferenceMap.WeakRef,0,0,0,High
Public Abstract Class,org.apache.commons.collections.map.AbstractSortedMapDecorator,0,0,0,High
Public Class,org.apache.commons.collections.map.CaseInsensitiveMap,0,0,0,High
Public Class,org.apache.commons.collections.map.CompositeMap,41,55,55,Low
Public Class,org.apache.commons.collections.map.DefaultedMap,25,63,63,Low
Public Class,org.apache.commons.collections.map.FixedSizeMap,0,0,0,High
Public Class,org.apache.commons.collections.map.FixedSizeSortedMap,0,0,0,High
Public Class,org.apache.commons.collections.map.Flat3Map,46,60,60,Low
Static Class,org.apache.commons.collections.map.Flat3Map.EntrySet,0,0,0,High
Static Class,org.apache.commons.collections.map.Flat3Map.EntrySetIterator,10,33,33,Medium
Static Class,org.apache.commons.collections.map.Flat3Map.FlatMapIterator,15,26,26,Medium
Static Class,org.apache.commons.collections.map.Flat3Map.KeySet,0,0,0,High
Static Class,org.apache.commons.collections.map.Flat3Map.KeySetIterator,0,0,0,High
Static Class,org.apache.commons.collections.map.Flat3Map.Values,0,0,0,High
Static Class,org.apache.commons.collections.map.Flat3Map.ValuesIterator,0,0,0,High
Public Class,org.apache.commons.collections.map.HashedMap,0,0,0,High
Public Class,org.apache.commons.collections.map.IdentityMap,0,0,0,High
Protected Static Class,org.apache.commons.collections.map.IdentityMap.IdentityEntry,0,0,0,High
Public Class,org.apache.commons.collections.map.LRUMap,43,76,76,Very Low
Public Class,org.apache.commons.collections.map.LazyMap,29,57,57,Low
Public Class,org.apache.commons.collections.map.LazySortedMap,0,0,0,High
Public Class,org.apache.commons.collections.map.LinkedMap,0,0,0,High
Static Class,org.apache.commons.collections.map.LinkedMap.LinkedMapList,44,44,44,Medium
Public Class,org.apache.commons.collections.map.ListOrderedMap,29,46,46,Medium
Static Class,org.apache.commons.collections.map.ListOrderedMap.EntrySetView,42,72,72,Low
Static Class,org.apache.commons.collections.map.ListOrderedMap.KeySetView,0,0,0,High
Anonymous Class,org.apache.commons.collections.map.ListOrderedMap.KeySetView.iterator.(Anon_2),0,0,0,High
Static Class,org.apache.commons.collections.map.ListOrderedMap.ListOrderedIterator,17,17,17,High
Static Class,org.apache.commons.collections.map.ListOrderedMap.ListOrderedMapEntry,0,0,0,High
Static Class,org.apache.commons.collections.map.ListOrderedMap.ListOrderedMapIterator,34,39,39,Medium
Static Class,org.apache.commons.collections.map.ListOrderedMap.ValuesView,0,0,0,High
Anonymous Class,org.apache.commons.collections.map.ListOrderedMap.ValuesView.iterator.(Anon_1),0,0,0,High
Public Class,org.apache.commons.collections.map.MultiKeyMap,18,29,29,Medium
Public Class,org.apache.commons.collections.map.MultiValueMap,72,92,92,Very Low
Private Static Class,org.apache.commons.collections.map.MultiValueMap.ReflectionFactory,0,0,0,High
Private Class,org.apache.commons.collections.map.MultiValueMap.Values,0,0,0,High
Private Class,org.apache.commons.collections.map.MultiValueMap.ValuesIterator,33,33,33,Medium
Public Class,org.apache.commons.collections.map.PredicatedMap,33,67,67,Low
Public Class,org.apache.commons.collections.map.PredicatedSortedMap,0,0,0,High
Public Class,org.apache.commons.collections.map.ReferenceIdentityMap,0,0,0,High
Public Class,org.apache.commons.collections.map.ReferenceMap,0,0,0,High
Public Class,org.apache.commons.collections.map.SingletonMap,53,79,79,Very Low
Static Class,org.apache.commons.collections.map.SingletonMap.SingletonMapIterator,45,52,52,Low
Static Class,org.apache.commons.collections.map.SingletonMap.SingletonValues,50,50,50,Medium
Public Final Class,org.apache.commons.collections.map.StaticBucketMap,24,45,45,Medium
Private Class,org.apache.commons.collections.map.StaticBucketMap.EntryIterator,25,58,58,Low
Private Class,org.apache.commons.collections.map.StaticBucketMap.EntrySet,0,0,0,High
Private Class,org.apache.commons.collections.map.StaticBucketMap.KeyIterator,0,0,0,High
Private Class,org.apache.commons.collections.map.StaticBucketMap.KeySet,0,0,0,High
Private Static Final Class,org.apache.commons.collections.map.StaticBucketMap.Lock,0,0,0,High
Private Static Final Class,org.apache.commons.collections.map.StaticBucketMap.Node,53,53,53,Low
Private Class,org.apache.commons.collections.map.StaticBucketMap.ValueIterator,0,0,0,High
Private Class,org.apache.commons.collections.map.StaticBucketMap.Values,0,0,0,High
Public Class,org.apache.commons.collections.map.TransformedMap,33,75,75,Low
Public Class,org.apache.commons.collections.map.TransformedSortedMap,0,0,0,High
Public Class,org.apache.commons.collections.map.TypedMap,0,0,0,High
Public Class,org.apache.commons.collections.map.TypedSortedMap,0,0,0,High
Public Final Class,org.apache.commons.collections.map.UnmodifiableEntrySet,0,0,0,High
Static Final Class,org.apache.commons.collections.map.UnmodifiableEntrySet.UnmodifiableEntry,0,0,0,High
Static Final Class,org.apache.commons.collections.map.UnmodifiableEntrySet.UnmodifiableEntrySetIterator,0,0,0,High
Public Final Class,org.apache.commons.collections.map.UnmodifiableMap,0,0,0,High
Public Final Class,org.apache.commons.collections.map.UnmodifiableOrderedMap,0,0,0,High
Public Final Class,org.apache.commons.collections.map.UnmodifiableSortedMap,0,0,0,High
Public Abstract Class,org.apache.commons.collections.set.AbstractSerializableSetDecorator,0,0,0,High
Public Abstract Class,org.apache.commons.collections.set.AbstractSetDecorator,0,0,0,High
Public Abstract Class,org.apache.commons.collections.set.AbstractSortedSetDecorator,0,0,0,High
Public Class,org.apache.commons.collections.set.CompositeSet,0,0,0,High
Public Class,org.apache.commons.collections.set.ListOrderedSet,0,23,23,High
Static Class,org.apache.commons.collections.set.ListOrderedSet.OrderedSetIterator,33,33,33,Medium
Public Final Class,org.apache.commons.collections.set.MapBackedSet,36,47,47,Medium
Public Class,org.apache.commons.collections.set.PredicatedSet,0,0,0,High
Public Class,org.apache.commons.collections.set.PredicatedSortedSet,0,0,0,High
Public Class,org.apache.commons.collections.set.SynchronizedSet,0,0,0,High
Public Class,org.apache.commons.collections.set.SynchronizedSortedSet,0,0,0,High
Public Class,org.apache.commons.collections.set.TransformedSet,0,0,0,High
Public Class,org.apache.commons.collections.set.TransformedSortedSet,0,0,0,High
Public Class,org.apache.commons.collections.set.TypedSet,0,0,0,High
Public Class,org.apache.commons.collections.set.TypedSortedSet,0,0,0,High
Public Final Class,org.apache.commons.collections.set.UnmodifiableSet,0,0,0,High
Public Final Class,org.apache.commons.collections.set.UnmodifiableSortedSet,0,0,0,High
