Kind,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,AvgEssential,CCViolDensityCode,CCViolDensityLine,CountCCViol,CountCCViolType,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,Essential,MaxCyclomatic,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumEssential,LCOM,CohesionLevel
Public Method,org.apache.commons.collections.TestMultiHashMap.testMapGet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,,,,0.0,,,0.0,1,1,,
Public Method,org.apache.commons.collections.TestMultiHashMap.testMapHashCode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,,,,0.0,,,0.0,1,1,,
Public Method,org.apache.commons.collections.TestMultiHashMap.testMapPut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,,,,0.0,,,0.0,1,1,,
Public Method,org.apache.commons.collections.TestMultiHashMap.testMapPutAll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,,,,0.0,,,0.0,1,1,,
Public Method,org.apache.commons.collections.TestMultiHashMap.testMapRemove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,,,,0.0,,,0.0,1,1,,
Public Method,org.apache.commons.collections.TestMultiHashMap.testPutAll_KeyCollection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,30.0,4.0,26.0,3.0,24.0,0.0,6.0,24.0,25.0,3.0,24.0,1.0,1.0,,,,0.0,,,0.0,1,1,,
Public Method,org.apache.commons.collections.TestMultiHashMap.testPutAll_Map1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,19.0,2.0,17.0,3.0,15.0,0.0,10.0,15.0,16.0,3.0,15.0,1.0,1.0,,,,0.0,,,0.0,1,1,,
Public Method,org.apache.commons.collections.TestMultiHashMap.testPutAll_Map2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,20.0,2.0,18.0,3.0,16.0,0.0,10.0,16.0,17.0,3.0,16.0,1.0,1.0,,,,0.0,,,0.0,1,1,,
Public Method,org.apache.commons.collections.TestMultiHashMap.testPutNGet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10.0,2.0,8.0,2.0,6.0,0.0,7.0,6.0,7.0,2.0,6.0,1.0,1.0,,,,0.0,,,0.0,1,1,,
Public Method,org.apache.commons.collections.TestMultiHashMap.testRemove_KeyItem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,12.0,0.0,12.0,2.0,10.0,0.0,4.0,10.0,11.0,2.0,10.0,1.0,1.0,,,,0.0,,,0.0,1,1,,
Public Method,org.apache.commons.collections.TestMultiHashMap.testSize_Key,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,23.0,0.0,23.0,2.0,21.0,0.0,6.0,21.0,22.0,2.0,21.0,1.0,1.0,,,,0.0,,,0.0,1,1,,
Public Method,org.apache.commons.collections.TestMultiHashMap.testTotalSize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,16.0,0.0,16.0,2.0,14.0,0.0,6.0,14.0,15.0,2.0,14.0,1.0,1.0,,,,0.0,,,0.0,1,1,,
Public Method,org.apache.commons.collections.TestMultiHashMap.testValues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,9.0,2.0,7.0,3.0,5.0,0.0,7.0,5.0,6.0,3.0,5.0,1.0,1.0,,,,0.0,,,0.0,1,1,,
Public Method,org.apache.commons.collections.TestMultiHashMap.verifyEntrySet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,4.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,,,,0.0,,,1.0,1,1,,
Public Method,org.apache.commons.collections.TestMultiHashMap.verifyMap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,4.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,,,,0.0,,,1.0,1,1,,
Public Method,org.apache.commons.collections.TestMultiHashMap.verifyValues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,6.0,0.0,4.0,1.0,2.0,2.0,3.0,2.0,3.0,1.0,2.0,1.0,1.0,,,,0.0,,,0.5,1,1,,
Public Static Method,org.apache.commons.collections.TestPredicateUtils.main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,7.0,0.0,3.0,1.0,1.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,0.0,,,1.33,1,1,,
Public Method,org.apache.commons.collections.TestPredicateUtils.setUp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,,,,0.0,,,1.5,1,1,,
Public Static Method,org.apache.commons.collections.TestPredicateUtils.suite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,6.0,0.0,3.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,0.0,,,1.0,1,1,,
Public Method,org.apache.commons.collections.TestPredicateUtils.tearDown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,,,,0.0,,,1.5,1,1,,
Public Method,org.apache.commons.collections.TestPredicateUtils.testAllPredicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,40.0,0.0,40.0,2.0,38.0,0.0,10.0,33.0,34.0,2.0,33.0,1.0,1.0,,,,0.0,,,0.0,1,1,,
Public Method,org.apache.commons.collections.TestPredicateUtils.testAllPredicateEx1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,8.0,0.0,8.0,1.0,5.0,0.0,2.0,3.0,5.0,1.0,4.0,2.0,1.0,,,,1.0,,,0.0,2,1,,
Public Method,org.apache.commons.collections.TestPredicateUtils.testAllPredicateEx2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,8.0,0.0,8.0,1.0,5.0,0.0,2.0,3.0,5.0,1.0,4.0,2.0,1.0,,,,1.0,,,0.0,2,1,,
Public Method,org.apache.commons.collections.TestPredicateUtils.testAllPredicateEx3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,8.0,0.0,8.0,1.0,5.0,0.0,2.0,3.0,5.0,1.0,4.0,2.0,1.0,,,,1.0,,,0.0,2,1,,
Public Method,org.apache.commons.collections.TestPredicateUtils.testAllPredicateEx4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,8.0,0.0,8.0,1.0,5.0,0.0,2.0,3.0,5.0,1.0,4.0,2.0,1.0,,,,1.0,,,0.0,2,1,,
Public Method,org.apache.commons.collections.TestPredicateUtils.testAllPredicateEx5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,0.0,3.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,0.0,,,0.0,1,1,,
Public Method,org.apache.commons.collections.TestPredicateUtils.testAllPredicateEx6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,11.0,0.0,11.0,2.0,8.0,0.0,3.0,6.0,8.0,2.0,7.0,2.0,1.0,,,,1.0,,,0.0,2,1,,
Public Method,org.apache.commons.collections.TestPredicateUtils.testAndPredicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,6.0,0.0,6.0,1.0,4.0,0.0,5.0,4.0,5.0,1.0,4.0,1.0,1.0,,,,0.0,,,0.0,1,1,,
Public Method,org.apache.commons.collections.TestPredicateUtils.testAndPredicateEx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,8.0,0.0,8.0,1.0,5.0,0.0,2.0,3.0,5.0,1.0,4.0,2.0,1.0,,,,1.0,,,0.0,2,1,,
Public Method,org.apache.commons.collections.TestPredicateUtils.testAnyPredicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,40.0,0.0,40.0,2.0,38.0,0.0,10.0,33.0,34.0,2.0,33.0,1.0,1.0,,,,0.0,,,0.0,1,1,,
Public Method,org.apache.commons.collections.TestPredicateUtils.testAnyPredicateEx1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,8.0,0.0,8.0,1.0,5.0,0.0,2.0,3.0,5.0,1.0,4.0,2.0,1.0,,,,1.0,,,0.0,2,1,,
Public Method,org.apache.commons.collections.TestPredicateUtils.testAnyPredicateEx2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,8.0,0.0,8.0,1.0,5.0,0.0,2.0,3.0,5.0,1.0,4.0,2.0,1.0,,,,1.0,,,0.0,2,1,,
Public Method,org.apache.commons.collections.TestPredicateUtils.testAnyPredicateEx3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,8.0,0.0,8.0,1.0,5.0,0.0,2.0,3.0,5.0,1.0,4.0,2.0,1.0,,,,1.0,,,0.0,2,1,,
Public Method,org.apache.commons.collections.TestPredicateUtils.testAnyPredicateEx4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,8.0,0.0,8.0,1.0,5.0,0.0,2.0,3.0,5.0,1.0,4.0,2.0,1.0,,,,1.0,,,0.0,2,1,,
Public Method,org.apache.commons.collections.TestPredicateUtils.testAnyPredicateEx5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,0.0,3.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,0.0,,,0.0,1,1,,
Public Method,org.apache.commons.collections.TestPredicateUtils.testAnyPredicateEx6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,11.0,0.0,11.0,2.0,8.0,0.0,3.0,6.0,8.0,2.0,7.0,2.0,1.0,,,,1.0,,,0.0,2,1,,
Public Method,org.apache.commons.collections.TestPredicateUtils.testAsPredicateTransformer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,0.0,4.0,1.0,2.0,0.0,4.0,2.0,3.0,1.0,2.0,1.0,1.0,,,,0.0,,,0.0,1,1,,
Public Method,org.apache.commons.collections.TestPredicateUtils.testAsPredicateTransformerEx1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,8.0,0.0,8.0,1.0,5.0,0.0,2.0,3.0,5.0,1.0,4.0,2.0,1.0,,,,1.0,,,0.0,2,1,,
Public Method,org.apache.commons.collections.TestPredicateUtils.testAsPredicateTransformerEx2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,8.0,0.0,8.0,1.0,5.0,0.0,4.0,3.0,5.0,1.0,4.0,2.0,1.0,,,,1.0,,,0.0,2,1,,
Public Method,org.apache.commons.collections.TestPredicateUtils.testEitherPredicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,6.0,0.0,6.0,1.0,4.0,0.0,5.0,4.0,5.0,1.0,4.0,1.0,1.0,,,,0.0,,,0.0,1,1,,
Public Method,org.apache.commons.collections.TestPredicateUtils.testEitherPredicateEx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,8.0,0.0,8.0,1.0,5.0,0.0,2.0,3.0,5.0,1.0,4.0,2.0,1.0,,,,1.0,,,0.0,2,1,,
Public Method,org.apache.commons.collections.TestPredicateUtils.testEqualPredicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,8.0,0.0,8.0,1.0,6.0,0.0,6.0,6.0,7.0,1.0,6.0,1.0,1.0,,,,0.0,,,0.0,1,1,,
Public Method,org.apache.commons.collections.TestPredicateUtils.testExceptionPredicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,14.0,0.0,14.0,1.0,10.0,0.0,5.0,6.0,9.0,1.0,8.0,3.0,3.0,,,,2.0,,,0.0,3,3,,
Public Method,org.apache.commons.collections.TestPredicateUtils.testFalsePredicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,8.0,0.0,8.0,1.0,6.0,0.0,5.0,6.0,7.0,1.0,6.0,1.0,1.0,,,,0.0,,,0.0,1,1,,
Public Method,org.apache.commons.collections.TestPredicateUtils.testIdentityPredicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,9.0,0.0,9.0,1.0,7.0,0.0,6.0,7.0,8.0,1.0,7.0,1.0,1.0,,,,0.0,,,0.0,1,1,,
Public Method,org.apache.commons.collections.TestPredicateUtils.testInstanceOfPredicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,7.0,0.0,7.0,1.0,5.0,0.0,4.0,5.0,6.0,1.0,5.0,1.0,1.0,,,,0.0,,,0.0,1,1,,
Public Method,org.apache.commons.collections.TestPredicateUtils.testInvokerPredicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,6.0,0.0,6.0,2.0,4.0,0.0,4.0,4.0,5.0,2.0,4.0,1.0,1.0,,,,0.0,,,0.0,1,1,,
Public Method,org.apache.commons.collections.TestPredicateUtils.testInvokerPredicate2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,8.0,0.0,8.0,2.0,6.0,0.0,4.0,4.0,5.0,2.0,4.0,1.0,1.0,,,,0.0,,,0.0,1,1,,
Public Method,org.apache.commons.collections.TestPredicateUtils.testInvokerPredicate2Ex1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,8.0,0.0,8.0,1.0,5.0,0.0,2.0,3.0,5.0,1.0,4.0,2.0,1.0,,,,1.0,,,0.0,2,1,,
Public Method,org.apache.commons.collections.TestPredicateUtils.testInvokerPredicate2Ex2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,8.0,0.0,8.0,1.0,5.0,0.0,3.0,3.0,5.0,1.0,4.0,2.0,1.0,,,,1.0,,,0.0,2,1,,
Public Method,org.apache.commons.collections.TestPredicateUtils.testInvokerPredicate2Ex3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,9.0,0.0,9.0,1.0,6.0,0.0,3.0,3.0,5.0,1.0,4.0,2.0,1.0,,,,1.0,,,0.0,2,1,,
Public Method,org.apache.commons.collections.TestPredicateUtils.testInvokerPredicateEx1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,8.0,0.0,8.0,1.0,5.0,0.0,2.0,3.0,5.0,1.0,4.0,2.0,1.0,,,,1.0,,,0.0,2,1,,
Public Method,org.apache.commons.collections.TestPredicateUtils.testInvokerPredicateEx2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,8.0,0.0,8.0,1.0,5.0,0.0,3.0,3.0,5.0,1.0,4.0,2.0,1.0,,,,1.0,,,0.0,2,1,,
Public Method,org.apache.commons.collections.TestPredicateUtils.testInvokerPredicateEx3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,8.0,0.0,8.0,1.0,5.0,0.0,3.0,3.0,5.0,1.0,4.0,2.0,1.0,,,,1.0,,,0.0,2,1,,
Public Method,org.apache.commons.collections.TestPredicateUtils.testIsNotNullPredicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,8.0,0.0,8.0,1.0,6.0,0.0,5.0,6.0,7.0,1.0,6.0,1.0,1.0,,,,0.0,,,0.0,1,1,,
Public Method,org.apache.commons.collections.TestPredicateUtils.testNeitherPredicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,6.0,0.0,6.0,1.0,4.0,0.0,5.0,4.0,5.0,1.0,4.0,1.0,1.0,,,,0.0,,,0.0,1,1,,
Public Method,org.apache.commons.collections.TestPredicateUtils.testNeitherPredicateEx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,8.0,0.0,8.0,1.0,5.0,0.0,2.0,3.0,5.0,1.0,4.0,2.0,1.0,,,,1.0,,,0.0,2,1,,
Public Method,org.apache.commons.collections.TestPredicateUtils.testNonePredicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,40.0,0.0,40.0,2.0,38.0,0.0,10.0,33.0,34.0,2.0,33.0,1.0,1.0,,,,0.0,,,0.0,1,1,,
Public Method,org.apache.commons.collections.TestPredicateUtils.testNonePredicateEx1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,8.0,0.0,8.0,1.0,5.0,0.0,2.0,3.0,5.0,1.0,4.0,2.0,1.0,,,,1.0,,,0.0,2,1,,
Public Method,org.apache.commons.collections.TestPredicateUtils.testNonePredicateEx2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,8.0,0.0,8.0,1.0,5.0,0.0,2.0,3.0,5.0,1.0,4.0,2.0,1.0,,,,1.0,,,0.0,2,1,,
Public Method,org.apache.commons.collections.TestPredicateUtils.testNonePredicateEx3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,8.0,0.0,8.0,1.0,5.0,0.0,2.0,3.0,5.0,1.0,4.0,2.0,1.0,,,,1.0,,,0.0,2,1,,
Public Method,org.apache.commons.collections.TestPredicateUtils.testNonePredicateEx4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,8.0,0.0,8.0,1.0,5.0,0.0,2.0,3.0,5.0,1.0,4.0,2.0,1.0,,,,1.0,,,0.0,2,1,,
Public Method,org.apache.commons.collections.TestPredicateUtils.testNonePredicateEx5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,0.0,3.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,0.0,,,0.0,1,1,,
Public Method,org.apache.commons.collections.TestPredicateUtils.testNonePredicateEx6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,11.0,0.0,11.0,2.0,8.0,0.0,3.0,6.0,8.0,2.0,7.0,2.0,1.0,,,,1.0,,,0.0,2,1,,
Public Method,org.apache.commons.collections.TestPredicateUtils.testNotPredicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,7.0,0.0,7.0,1.0,5.0,0.0,5.0,5.0,6.0,1.0,5.0,1.0,1.0,,,,0.0,,,0.0,1,1,,
Public Method,org.apache.commons.collections.TestPredicateUtils.testNotPredicateEx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,8.0,0.0,8.0,1.0,5.0,0.0,2.0,3.0,5.0,1.0,4.0,2.0,1.0,,,,1.0,,,0.0,2,1,,
Public Method,org.apache.commons.collections.TestPredicateUtils.testNullIsExceptionPredicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,9.0,0.0,9.0,1.0,6.0,0.0,5.0,4.0,6.0,1.0,5.0,2.0,1.0,,,,1.0,,,0.0,2,1,,
Public Method,org.apache.commons.collections.TestPredicateUtils.testNullIsExceptionPredicateEx1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,8.0,0.0,8.0,1.0,5.0,0.0,2.0,3.0,5.0,1.0,4.0,2.0,1.0,,,,1.0,,,0.0,2,1,,
Public Method,org.apache.commons.collections.TestPredicateUtils.testNullIsFalsePredicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.0,0.0,5.0,1.0,3.0,0.0,5.0,3.0,4.0,1.0,3.0,1.0,1.0,,,,0.0,,,0.0,1,1,,
Public Method,org.apache.commons.collections.TestPredicateUtils.testNullIsFalsePredicateEx1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,8.0,0.0,8.0,1.0,5.0,0.0,2.0,3.0,5.0,1.0,4.0,2.0,1.0,,,,1.0,,,0.0,2,1,,
Public Method,org.apache.commons.collections.TestPredicateUtils.testNullIsTruePredicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.0,0.0,5.0,1.0,3.0,0.0,5.0,3.0,4.0,1.0,3.0,1.0,1.0,,,,0.0,,,0.0,1,1,,
Public Method,org.apache.commons.collections.TestPredicateUtils.testNullIsTruePredicateEx1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,8.0,0.0,8.0,1.0,5.0,0.0,2.0,3.0,5.0,1.0,4.0,2.0,1.0,,,,1.0,,,0.0,2,1,,
Public Method,org.apache.commons.collections.TestPredicateUtils.testNullPredicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,8.0,0.0,8.0,1.0,6.0,0.0,5.0,6.0,7.0,1.0,6.0,1.0,1.0,,,,0.0,,,0.0,1,1,,
Public Method,org.apache.commons.collections.TestPredicateUtils.testOnePredicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,44.0,0.0,44.0,2.0,42.0,0.0,10.0,35.0,36.0,2.0,35.0,1.0,1.0,,,,0.0,,,0.0,1,1,,
Public Method,org.apache.commons.collections.TestPredicateUtils.testOnePredicateEx1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,8.0,0.0,8.0,1.0,5.0,0.0,2.0,3.0,5.0,1.0,4.0,2.0,1.0,,,,1.0,,,0.0,2,1,,
Public Method,org.apache.commons.collections.TestPredicateUtils.testOnePredicateEx2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,8.0,0.0,8.0,1.0,5.0,0.0,2.0,3.0,5.0,1.0,4.0,2.0,1.0,,,,1.0,,,0.0,2,1,,
Public Method,org.apache.commons.collections.TestPredicateUtils.testOnePredicateEx3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,8.0,0.0,8.0,1.0,5.0,0.0,2.0,3.0,5.0,1.0,4.0,2.0,1.0,,,,1.0,,,0.0,2,1,,
Public Method,org.apache.commons.collections.TestPredicateUtils.testOnePredicateEx4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,8.0,0.0,8.0,1.0,5.0,0.0,2.0,3.0,5.0,1.0,4.0,2.0,1.0,,,,1.0,,,0.0,2,1,,
Public Method,org.apache.commons.collections.TestPredicateUtils.testOnePredicateEx5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,0.0,3.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,0.0,,,0.0,1,1,,
Public Method,org.apache.commons.collections.TestPredicateUtils.testOnePredicateEx6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,11.0,0.0,11.0,2.0,8.0,0.0,3.0,6.0,8.0,2.0,7.0,2.0,1.0,,,,1.0,,,0.0,2,1,,
Public Method,org.apache.commons.collections.TestPredicateUtils.testOrPredicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,6.0,0.0,6.0,1.0,4.0,0.0,5.0,4.0,5.0,1.0,4.0,1.0,1.0,,,,0.0,,,0.0,1,1,,
Public Method,org.apache.commons.collections.TestPredicateUtils.testOrPredicateEx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,8.0,0.0,8.0,1.0,5.0,0.0,2.0,3.0,5.0,1.0,4.0,2.0,1.0,,,,1.0,,,0.0,2,1,,
Public Method,org.apache.commons.collections.TestPredicateUtils.testTransformedPredicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,16.0,1.0,15.0,4.0,13.0,0.0,9.0,9.0,11.0,4.0,10.0,2.0,1.0,,,,1.0,,,0.0,2,1,,
Public Method,org.apache.commons.collections.TestPredicateUtils.testTruePredicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,8.0,0.0,8.0,1.0,6.0,0.0,5.0,6.0,7.0,1.0,6.0,1.0,1.0,,,,0.0,,,0.0,1,1,,
Public Method,org.apache.commons.collections.TestPredicateUtils.testUniquePredicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,9.0,0.0,9.0,2.0,7.0,0.0,3.0,7.0,8.0,2.0,7.0,1.0,1.0,,,,0.0,,,0.0,1,1,,
Public Method,org.apache.commons.collections.TestReferenceMap.buildRefMap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,15.0,3.0,12.0,4.0,10.0,0.0,8.0,10.0,11.0,4.0,10.0,1.0,1.0,,,,0.0,,,0.0,1,1,,
Private Static Method,org.apache.commons.collections.TestReferenceMap.gc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,9.0,0.0,8.0,2.0,5.0,2.0,2.0,3.0,5.0,2.0,3.0,2.0,1.0,,,,1.0,,,0.25,2,1,,
Public Method,org.apache.commons.collections.TestReferenceMap.getCompatibilityVersion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0,0.0,3.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,0.0,,,0.0,1,1,,
Public Method,org.apache.commons.collections.TestReferenceMap.isAllowNullKey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0,0.0,3.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,0.0,,,0.0,1,1,,
Public Method,org.apache.commons.collections.TestReferenceMap.isAllowNullValue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0,0.0,3.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,0.0,,,0.0,1,1,,
Public Static Method,org.apache.commons.collections.TestReferenceMap.main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,0.0,4.0,2.0,2.0,0.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,,,,0.0,,,0.0,1,1,,
Public Method,org.apache.commons.collections.TestReferenceMap.makeEmptyMap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,0.0,4.0,2.0,2.0,0.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,,,,0.0,,,0.0,1,1,,
Public Static Method,org.apache.commons.collections.TestReferenceMap.suite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,0.0,3.0,1.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,0.0,,,0.0,1,1,,
Public Method,org.apache.commons.collections.TestReferenceMap.testNullHandling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,22.0,0.0,22.0,1.0,20.0,0.0,12.0,14.0,18.0,1.0,17.0,4.0,1.0,,,,1.0,,,0.0,4,1,,
