Kind,Name,PercentLackOfCohesionModified,PercentLackOfCohesion
Public Final Class,"org.jfree.chart.plot.PieLabelLinkStyle",0,20
Public Class,"org.jfree.chart.plot.PieLabelRecord",74,74
Public Class,"org.jfree.chart.plot.PiePlot",93,95
Public Class,"org.jfree.chart.plot.PiePlot3D",63,71
Public Class,"org.jfree.chart.plot.PiePlotState",90,90
Public Class,"org.jfree.chart.plot.PieSelectionAttributes",89,91
Public Abstract Class,"org.jfree.chart.plot.Plot",88,92
Public Final Class,"org.jfree.chart.plot.PlotOrientation",0,20
Public Class,"org.jfree.chart.plot.PlotRenderingInfo",59,63
Public Class,"org.jfree.chart.plot.PlotState",0,0
Public Class,"org.jfree.chart.plot.PlotUtilities",0,0
Public Class,"org.jfree.chart.plot.PolarPlot",88,91
Public Class,"org.jfree.chart.plot.RingPlot",67,73
Public Interface,"org.jfree.chart.plot.Selectable",0,0
Public Final Class,"org.jfree.chart.plot.SeriesRenderingOrder",0,20
Public Class,"org.jfree.chart.plot.SpiderWebPlot",86,91
Public Class,"org.jfree.chart.plot.ThermometerPlot",90,94
Public Interface,"org.jfree.chart.plot.ValueAxisPlot",0,0
Public Class,"org.jfree.chart.plot.ValueMarker",0,17
Public Class,"org.jfree.chart.plot.WaferMapPlot",63,81
Public Class,"org.jfree.chart.plot.XYCrosshairState",0,0
Public Class,"org.jfree.chart.plot.XYPlot",95,97
Public Interface,"org.jfree.chart.plot.Zoomable",0,0
Public Abstract Class,"org.jfree.chart.plot.dial.AbstractDialLayer",41,45
Public Class,"org.jfree.chart.plot.dial.ArcDialFrame",65,71
Public Class,"org.jfree.chart.plot.dial.DialBackground",38,46
Public Class,"org.jfree.chart.plot.dial.DialCap",55,55
Public Interface,"org.jfree.chart.plot.dial.DialFrame",0,0
Public Interface,"org.jfree.chart.plot.dial.DialLayer",0,0
Public Class,"org.jfree.chart.plot.dial.DialLayerChangeEvent",0,0
Public Interface,"org.jfree.chart.plot.dial.DialLayerChangeListener",0,0
Public Class,"org.jfree.chart.plot.dial.DialPlot",82,86
Public Abstract Class,"org.jfree.chart.plot.dial.DialPointer",45,55
Public Static Class,"org.jfree.chart.plot.dial.DialPointer.Pin",18,27
Public Static Class,"org.jfree.chart.plot.dial.DialPointer.Pointer",36,44
Public Interface,"org.jfree.chart.plot.dial.DialScale",0,0
Public Class,"org.jfree.chart.plot.dial.DialTextAnnotation",68,68
Public Class,"org.jfree.chart.plot.dial.DialValueIndicator",83,86
Public Class,"org.jfree.chart.plot.dial.StandardDialFrame",54,54
Public Class,"org.jfree.chart.plot.dial.StandardDialRange",64,69
Public Class,"org.jfree.chart.plot.dial.StandardDialScale",86,88
Public Class,"org.jfree.chart.plot.dial.junit.AbstractDialLayerTests",0,0
Public Class,"org.jfree.chart.plot.dial.junit.ArcDialFrameTests",0,0
Public Class,"org.jfree.chart.plot.dial.junit.DialBackgroundTests",0,0
Public Class,"org.jfree.chart.plot.dial.junit.DialCapTests",0,0
Public Class,"org.jfree.chart.plot.dial.junit.DialPackageTests",0,0
Public Class,"org.jfree.chart.plot.dial.junit.DialPlotTests",50,50
Public Class,"org.jfree.chart.plot.dial.junit.DialPointerTests",0,0
Public Class,"org.jfree.chart.plot.dial.junit.DialTextAnnotationTests",0,0
Public Class,"org.jfree.chart.plot.dial.junit.DialValueIndicatorTests",0,0
Public Class,"org.jfree.chart.plot.dial.junit.MyDialLayerChangeListener",0,0
Public Class,"org.jfree.chart.plot.dial.junit.StandardDialFrameTests",0,0
Public Class,"org.jfree.chart.plot.dial.junit.StandardDialRangeTests",0,0
Public Class,"org.jfree.chart.plot.dial.junit.StandardDialScaleTests",0,0
Public Class,"org.jfree.chart.plot.junit.CategoryMarkerTests",63,63
Public Class,"org.jfree.chart.plot.junit.CategoryPlotTests",0,0
Public Class,"org.jfree.chart.plot.junit.CombinedDomainCategoryPlotTests",82,82
Public Class,"org.jfree.chart.plot.junit.CombinedDomainXYPlotTests",83,83
Public Class,"org.jfree.chart.plot.junit.CombinedRangeCategoryPlotTests",82,82
Public Class,"org.jfree.chart.plot.junit.CombinedRangeXYPlotTests",82,82
Public Class,"org.jfree.chart.plot.junit.CompassPlotTests",0,0
Public Class,"org.jfree.chart.plot.junit.DefaultDrawingSupplierTests",0,0
Public Class,"org.jfree.chart.plot.junit.FastScatterPlotTests",0,0
Public Class,"org.jfree.chart.plot.junit.IntervalMarkerTests",63,63
Public Class,"org.jfree.chart.plot.junit.MarkerTests",24,24
Public Class,"org.jfree.chart.plot.junit.MeterIntervalTests",0,0
Public Class,"org.jfree.chart.plot.junit.MeterPlotTests",0,0
Public Class,"org.jfree.chart.plot.junit.MultiplePiePlotTests",88,88
Public Class,"org.jfree.chart.plot.junit.MyPlotChangeListener",0,0
Public Class,"org.jfree.chart.plot.junit.PieLabelRecordTests",0,0
Public Class,"org.jfree.chart.plot.junit.PiePlot3DTests",0,0
Public Class,"org.jfree.chart.plot.junit.PiePlotTests",0,0
Static Class,"org.jfree.chart.plot.junit.PiePlotTests.NullLegendLabelGenerator",0,0
Public Class,"org.jfree.chart.plot.junit.PlotOrientationTests",0,0
Public Class,"org.jfree.chart.plot.junit.PlotPackageTests",0,0
Public Class,"org.jfree.chart.plot.junit.PlotRenderingInfoTests",0,0
Public Class,"org.jfree.chart.plot.junit.PlotTests",0,0
Public Class,"org.jfree.chart.plot.junit.PolarPlotTests",0,0
Public Class,"org.jfree.chart.plot.junit.RingPlotTests",0,0
Public Class,"org.jfree.chart.plot.junit.SpiderWebPlotTests",0,0
Public Class,"org.jfree.chart.plot.junit.ThermometerPlotTests",0,0
Public Class,"org.jfree.chart.plot.junit.ValueMarkerTests",78,78
Public Class,"org.jfree.chart.plot.junit.XYPlotTests",0,0
Public Abstract Class,"org.jfree.chart.renderer.AbstractRenderer",94,96
Public Final Class,"org.jfree.chart.renderer.AreaRendererEndType",0,25
Public Class,"org.jfree.chart.renderer.DefaultPolarItemRenderer",58,71
Public Class,"org.jfree.chart.renderer.GrayPaintScale",30,50
Public Class,"org.jfree.chart.renderer.LookupPaintScale",48,57
Static Class,"org.jfree.chart.renderer.LookupPaintScale.PaintItem",30,30
Public Class,"org.jfree.chart.renderer.NotOutlierException",0,0
Public Class,"org.jfree.chart.renderer.Outlier",36,59
Public Class,"org.jfree.chart.renderer.OutlierList",59,70
Public Class,"org.jfree.chart.renderer.OutlierListCollection",71,71
Public Interface,"org.jfree.chart.renderer.PaintScale",0,0
Public Interface,"org.jfree.chart.renderer.PolarItemRenderer",0,0
Public Class,"org.jfree.chart.renderer.RenderAttributes",93,95
Public Class,"org.jfree.chart.renderer.RendererState",0,0
Public Class,"org.jfree.chart.renderer.RendererUtilities",0,0
Public Class,"org.jfree.chart.renderer.WaferMapRenderer",52,70
Public Abstract Class,"org.jfree.chart.renderer.category.AbstractCategoryItemRenderer",90,92
Public Class,"org.jfree.chart.renderer.category.AreaRenderer",29,29
Public Interface,"org.jfree.chart.renderer.category.BarPainter",0,0
Public Class,"org.jfree.chart.renderer.category.BarRenderer",89,91
Public Class,"org.jfree.chart.renderer.category.BarRenderer3D",37,65
Public Class,"org.jfree.chart.renderer.category.BoxAndWhiskerRenderer",71,77
Public Interface,"org.jfree.chart.renderer.category.CategoryItemRenderer",0,0
Public Class,"org.jfree.chart.renderer.category.CategoryItemRendererState",78,78
Public Class,"org.jfree.chart.renderer.category.CategoryStepRenderer",33,56
Protected Static Class,"org.jfree.chart.renderer.category.CategoryStepRenderer.State",0,0
Public Class,"org.jfree.chart.renderer.category.DefaultCategoryItemRenderer",0,0
Public Class,"org.jfree.chart.renderer.category.GanttRenderer",50,69
Public Class,"org.jfree.chart.renderer.category.GradientBarPainter",44,56
Public Class,"org.jfree.chart.renderer.category.GroupedStackedBarRenderer",0,0
Public Class,"org.jfree.chart.renderer.category.IntervalBarRenderer",0,0
Public Class,"org.jfree.chart.renderer.category.LayeredBarRenderer",14,57
Public Class,"org.jfree.chart.renderer.category.LevelRenderer",31,58
Public Class,"org.jfree.chart.renderer.category.LineAndShapeRenderer",79,85
Public Class,"org.jfree.chart.renderer.category.LineRenderer3D",44,58
Public Class,"org.jfree.chart.renderer.category.MinMaxCategoryRenderer",82,82
Anonymous Class,"org.jfree.chart.renderer.category.MinMaxCategoryRenderer.getIcon.(Anon_1)",0,0
Anonymous Class,"org.jfree.chart.renderer.category.MinMaxCategoryRenderer.getIcon.(Anon_2)",0,0
Public Class,"org.jfree.chart.renderer.category.ScatterRenderer",73,77
Public Class,"org.jfree.chart.renderer.category.StackedAreaRenderer",42,50
Public Class,"org.jfree.chart.renderer.category.StackedBarRenderer",22,33
Public Class,"org.jfree.chart.renderer.category.StackedBarRenderer3D",58,64
Public Class,"org.jfree.chart.renderer.category.StandardBarPainter",0,0
Public Class,"org.jfree.chart.renderer.category.StatisticalBarRenderer",25,33
Public Class,"org.jfree.chart.renderer.category.StatisticalLineAndShapeRenderer",29,38
Public Class,"org.jfree.chart.renderer.category.WaterfallBarRenderer",47,60
Public Class,"org.jfree.chart.renderer.category.junit.AbstractCategoryItemRendererTests",0,0
Public Class,"org.jfree.chart.renderer.category.junit.AreaRendererTests",0,0
Public Class,"org.jfree.chart.renderer.category.junit.BarRenderer3DTests",0,0
Public Class,"org.jfree.chart.renderer.category.junit.BarRendererTests",0,0
Public Class,"org.jfree.chart.renderer.category.junit.BoxAndWhiskerRendererTests",0,0
Anonymous Class,"org.jfree.chart.renderer.category.junit.BoxAndWhiskerRendererTests.testBug1572478Horizontal.(Anon_2)",0,0
Anonymous Class,"org.jfree.chart.renderer.category.junit.BoxAndWhiskerRendererTests.testBug1572478Vertical.(Anon_1)",0,0
Public Class,"org.jfree.chart.renderer.category.junit.CategoryStepRendererTests",0,0
Public Class,"org.jfree.chart.renderer.category.junit.DefaultCategoryItemRendererTests",0,0
Public Class,"org.jfree.chart.renderer.category.junit.GanttRendererTests",0,0
Public Class,"org.jfree.chart.renderer.category.junit.GradientBarPainterTests",0,0
Public Class,"org.jfree.chart.renderer.category.junit.GroupedStackedBarRendererTests",0,0
Public Class,"org.jfree.chart.renderer.category.junit.IntervalBarRendererTests",0,0
Public Class,"org.jfree.chart.renderer.category.junit.LayeredBarRendererTests",0,0
Public Class,"org.jfree.chart.renderer.category.junit.LevelRendererTests",0,0
Public Class,"org.jfree.chart.renderer.category.junit.LineAndShapeRendererTests",0,0
Public Class,"org.jfree.chart.renderer.category.junit.LineRenderer3DTests",0,0
Public Class,"org.jfree.chart.renderer.category.junit.MinMaxCategoryRendererTests",0,0
Public Class,"org.jfree.chart.renderer.category.junit.RendererCategoryPackageTests",0,0
Public Class,"org.jfree.chart.renderer.category.junit.ScatterRendererTests",0,0
Public Class,"org.jfree.chart.renderer.category.junit.StackedAreaRendererTests",0,0
Public Class,"org.jfree.chart.renderer.category.junit.StackedBarRenderer3DTests",0,0
Static Class,"org.jfree.chart.renderer.category.junit.StackedBarRenderer3DTests.MyRenderer",0,0
Public Class,"org.jfree.chart.renderer.category.junit.StackedBarRendererTests",0,0
Public Class,"org.jfree.chart.renderer.category.junit.StandardBarPainterTests",0,0
Public Class,"org.jfree.chart.renderer.category.junit.StatisticalBarRendererTests",0,0
Public Class,"org.jfree.chart.renderer.category.junit.StatisticalLineAndShapeRendererTests",0,0
Public Class,"org.jfree.chart.renderer.category.junit.WaterfallBarRendererTests",0,0
Public Class,"org.jfree.chart.renderer.junit.AbstractRendererTests",0,0
Static Class,"org.jfree.chart.renderer.junit.AbstractRendererTests.MyRendererChangeListener",0,0
Public Class,"org.jfree.chart.renderer.junit.AreaRendererEndTypeTests",0,0
Public Class,"org.jfree.chart.renderer.junit.DefaultPolarItemRendererTests",0,0
Public Class,"org.jfree.chart.renderer.junit.GrayPaintScaleTests",0,0
Public Class,"org.jfree.chart.renderer.junit.LookupPaintScaleTests",0,0
Public Class,"org.jfree.chart.renderer.junit.OutlierTests",0,0
Public Class,"org.jfree.chart.renderer.junit.RendererChangeDetector",0,0
Public Class,"org.jfree.chart.renderer.junit.RendererPackageTests",0,0
Public Class,"org.jfree.chart.renderer.junit.RendererUtilitiesTests",0,0
Anonymous Class,"org.jfree.chart.renderer.junit.RendererUtilitiesTests.testFindLiveItemsLowerBound_Ascending.(Anon_1)",0,0
Anonymous Class,"org.jfree.chart.renderer.junit.RendererUtilitiesTests.testFindLiveItemsLowerBound_Descending.(Anon_2)",0,0
Anonymous Class,"org.jfree.chart.renderer.junit.RendererUtilitiesTests.testFindLiveItemsUpperBound_Ascending.(Anon_3)",0,0
Anonymous Class,"org.jfree.chart.renderer.junit.RendererUtilitiesTests.testFindLiveItemsUpperBound_Descending.(Anon_4)",0,0
Public Abstract Class,"org.jfree.chart.renderer.xy.AbstractXYItemRenderer",88,91
Public Class,"org.jfree.chart.renderer.xy.CandlestickRenderer",81,85
Public Class,"org.jfree.chart.renderer.xy.ClusteredXYBarRenderer",38,50
Public Class,"org.jfree.chart.renderer.xy.CyclicXYItemRenderer",0,0
Protected Static Class,"org.jfree.chart.renderer.xy.CyclicXYItemRenderer.OverwriteDataSet",71,76
Public Class,"org.jfree.chart.renderer.xy.DefaultXYItemRenderer",0,0
Public Class,"org.jfree.chart.renderer.xy.DeviationRenderer",50,58
Public Static Class,"org.jfree.chart.renderer.xy.DeviationRenderer.State",0,0
Public Class,"org.jfree.chart.renderer.xy.GradientXYBarPainter",44,56
Public Class,"org.jfree.chart.renderer.xy.HighLowRenderer",68,72
Public Class,"org.jfree.chart.renderer.xy.SamplingXYLineRenderer",38,38
Public Static Class,"org.jfree.chart.renderer.xy.SamplingXYLineRenderer.State",83,83
Public Class,"org.jfree.chart.renderer.xy.StackedXYAreaRenderer",63,69
Static Class,"org.jfree.chart.renderer.xy.StackedXYAreaRenderer.StackedXYAreaRendererState",66,66
Public Class,"org.jfree.chart.renderer.xy.StackedXYAreaRenderer2",50,58
Public Class,"org.jfree.chart.renderer.xy.StackedXYBarRenderer",20,30
Public Class,"org.jfree.chart.renderer.xy.StandardXYBarPainter",0,0
Public Class,"org.jfree.chart.renderer.xy.StandardXYItemRenderer",76,85
Public Static Class,"org.jfree.chart.renderer.xy.StandardXYItemRenderer.State",73,73
Public Class,"org.jfree.chart.renderer.xy.VectorRenderer",67,67
Public Class,"org.jfree.chart.renderer.xy.WindItemRenderer",0,0
Public Class,"org.jfree.chart.renderer.xy.XYAreaRenderer",66,77
Static Class,"org.jfree.chart.renderer.xy.XYAreaRenderer.XYAreaRendererState",0,0
Public Class,"org.jfree.chart.renderer.xy.XYAreaRenderer2",38,50
Public Interface,"org.jfree.chart.renderer.xy.XYBarPainter",0,0
Public Class,"org.jfree.chart.renderer.xy.XYBarRenderer",86,90
Protected Class,"org.jfree.chart.renderer.xy.XYBarRenderer.XYBarRendererState",33,33
Public Class,"org.jfree.chart.renderer.xy.XYBlockRenderer",50,69
Public Class,"org.jfree.chart.renderer.xy.XYBoxAndWhiskerRenderer",62,77
Public Class,"org.jfree.chart.renderer.xy.XYBubbleRenderer",29,57
Public Class,"org.jfree.chart.renderer.xy.XYDifferenceRenderer",65,78
Public Class,"org.jfree.chart.renderer.xy.XYDotRenderer",56,59
Public Class,"org.jfree.chart.renderer.xy.XYErrorRenderer",66,66
Public Interface,"org.jfree.chart.renderer.xy.XYItemRenderer",0,0
Public Class,"org.jfree.chart.renderer.xy.XYItemRendererState",80,80
Public Class,"org.jfree.chart.renderer.xy.XYLine3DRenderer",62,69
Public Class,"org.jfree.chart.renderer.xy.XYLineAndShapeRenderer",81,88
Public Static Class,"org.jfree.chart.renderer.xy.XYLineAndShapeRenderer.State",50,50
Public Class,"org.jfree.chart.renderer.xy.XYShapeRenderer",75,77
Public Class,"org.jfree.chart.renderer.xy.XYSplineRenderer",50,56
Class,"org.jfree.chart.renderer.xy.XYSplineRenderer.ControlPoint",25,25
Public Class,"org.jfree.chart.renderer.xy.XYStepAreaRenderer",72,82
Public Class,"org.jfree.chart.renderer.xy.XYStepRenderer",44,56
Public Class,"org.jfree.chart.renderer.xy.YIntervalRenderer",25,38
Public Class,"org.jfree.chart.renderer.xy.junit.AbstractXYItemRendererTests",0,0
Public Class,"org.jfree.chart.renderer.xy.junit.CandlestickRendererTests",0,0
Public Class,"org.jfree.chart.renderer.xy.junit.ClusteredXYBarRendererTests",0,0
Public Class,"org.jfree.chart.renderer.xy.junit.DeviationRendererTests",0,0
Public Class,"org.jfree.chart.renderer.xy.junit.GradientXYBarPainterTests",0,0
Public Class,"org.jfree.chart.renderer.xy.junit.HighLowRendererTests",0,0
Public Class,"org.jfree.chart.renderer.xy.junit.RendererXYPackageTests",0,0
Public Class,"org.jfree.chart.renderer.xy.junit.StackedXYAreaRenderer2Tests",0,0
Public Class,"org.jfree.chart.renderer.xy.junit.StackedXYAreaRendererTests",0,0
Public Class,"org.jfree.chart.renderer.xy.junit.StackedXYBarRendererTests",0,0
Public Class,"org.jfree.chart.renderer.xy.junit.StandardXYBarPainterTests",0,0
Public Class,"org.jfree.chart.renderer.xy.junit.StandardXYItemRendererTests",0,0
Public Class,"org.jfree.chart.renderer.xy.junit.VectorRendererTests",0,0
Public Class,"org.jfree.chart.renderer.xy.junit.WindItemRendererTests",0,0
Public Class,"org.jfree.chart.renderer.xy.junit.XYAreaRenderer2Tests",0,0
Public Class,"org.jfree.chart.renderer.xy.junit.XYAreaRendererTests",0,0
Public Class,"org.jfree.chart.renderer.xy.junit.XYBarRendererTests",0,0
Public Class,"org.jfree.chart.renderer.xy.junit.XYBlockRendererTests",0,0
Public Class,"org.jfree.chart.renderer.xy.junit.XYBoxAndWhiskerRendererTests",0,0
Public Class,"org.jfree.chart.renderer.xy.junit.XYBubbleRendererTests",0,0
Public Class,"org.jfree.chart.renderer.xy.junit.XYDifferenceRendererTests",0,0
Public Class,"org.jfree.chart.renderer.xy.junit.XYDotRendererTests",0,0
Public Class,"org.jfree.chart.renderer.xy.junit.XYErrorRendererTests",0,0
Public Class,"org.jfree.chart.renderer.xy.junit.XYLine3DRendererTests",0,0
Public Class,"org.jfree.chart.renderer.xy.junit.XYLineAndShapeRendererTests",0,0
Public Class,"org.jfree.chart.renderer.xy.junit.XYShapeRendererTests",0,0
Public Class,"org.jfree.chart.renderer.xy.junit.XYSplineRendererTests",0,0
Public Class,"org.jfree.chart.renderer.xy.junit.XYStepAreaRendererTests",0,0
Public Class,"org.jfree.chart.renderer.xy.junit.XYStepRendererTests",0,0
Public Class,"org.jfree.chart.renderer.xy.junit.YIntervalRendererTests",0,0
Public Class,"org.jfree.chart.resources.JFreeChartResources",0,0
Public Class,"org.jfree.chart.servlet.ChartDeleter",40,40
Public Class,"org.jfree.chart.servlet.DisplayChart",0,0
Public Class,"org.jfree.chart.servlet.ServletUtilities",57,71
Public Class,"org.jfree.chart.text.G2TextMeasurer",0,0
Public Final Class,"org.jfree.chart.text.TextAnchor",0,20
Public Class,"org.jfree.chart.text.TextBlock",43,57
Public Final Class,"org.jfree.chart.text.TextBlockAnchor",0,20
Public Class,"org.jfree.chart.text.TextBox",63,71
Public Class,"org.jfree.chart.text.TextFragment",42,62
Public Class,"org.jfree.chart.text.TextLine",0,8
Public Interface,"org.jfree.chart.text.TextMeasurer",0,0
Public Class,"org.jfree.chart.text.TextUtilities",57,85
Public Class,"org.jfree.chart.title.CompositeTitle",29,46
Public Class,"org.jfree.chart.title.DateTitle",0,0
Public Class,"org.jfree.chart.title.ImageTitle",0,36
Public Class,"org.jfree.chart.title.LegendGraphic",82,85
Public Class,"org.jfree.chart.title.LegendItemBlockContainer",63,69
Public Class,"org.jfree.chart.title.LegendTitle",77,85
Public Class,"org.jfree.chart.title.PaintScaleLegend",75,80
Public Class,"org.jfree.chart.title.ShortTextTitle",0,0
Public Class,"org.jfree.chart.title.TextTitle",66,81
Public Abstract Class,"org.jfree.chart.title.Title",60,76
Public Class,"org.jfree.chart.title.junit.CompositeTitleTests",0,0
Public Class,"org.jfree.chart.title.junit.DateTitleTests",0,0
Public Class,"org.jfree.chart.title.junit.ImageTitleTests",0,0
Public Class,"org.jfree.chart.title.junit.LegendGraphicTests",0,0
Public Class,"org.jfree.chart.title.junit.LegendTitleTests",0,0
Public Class,"org.jfree.chart.title.junit.PaintScaleLegendTests",0,0
Public Class,"org.jfree.chart.title.junit.ShortTextTitleTests",0,0
Public Class,"org.jfree.chart.title.junit.TextTitleTests",0,0
Public Class,"org.jfree.chart.title.junit.TitlePackageTests",0,0
Public Class,"org.jfree.chart.title.junit.TitleTests",0,0
Public Class,"org.jfree.chart.ui.BasicProjectInfo",67,79
Private Static Class,"org.jfree.chart.ui.BasicProjectInfo.OptionalLibraryHolder",40,40
Public Class,"org.jfree.chart.ui.Contributor",33,33
Public Class,"org.jfree.chart.ui.ExtensionFileFilter",33,33
Public Class,"org.jfree.chart.ui.FontChooserPanel",43,57
Public Class,"org.jfree.chart.ui.FontDisplayField",25,50
Public Class,"org.jfree.chart.ui.LCBLayout",50,50
Public Class,"org.jfree.chart.ui.Library",71,71
Public Class,"org.jfree.chart.ui.Licences",67,67
Public Class,"org.jfree.chart.ui.PaintSample",40,40
Public Class,"org.jfree.chart.ui.ProjectInfo",63,67
Public Class,"org.jfree.chart.ui.StrokeChooserPanel",0,0
Anonymous Class,"org.jfree.chart.ui.StrokeChooserPanel.StrokeChooserPanel.(Anon_1)",0,0
Public Class,"org.jfree.chart.ui.StrokeSample",42,50
Public Interface,"org.jfree.chart.urls.CategoryURLGenerator",0,0
Public Class,"org.jfree.chart.urls.CustomCategoryURLGenerator",13,38
Public Class,"org.jfree.chart.urls.CustomPieURLGenerator",0,13
Public Class,"org.jfree.chart.urls.CustomXYURLGenerator",13,38
Public Interface,"org.jfree.chart.urls.PieURLGenerator",0,0
Public Class,"org.jfree.chart.urls.StandardCategoryURLGenerator",28,28
Public Class,"org.jfree.chart.urls.StandardPieURLGenerator",0,50
Public Class,"org.jfree.chart.urls.StandardXYURLGenerator",0,40
Public Class,"org.jfree.chart.urls.StandardXYZURLGenerator",0,0
Public Class,"org.jfree.chart.urls.TimeSeriesURLGenerator",50,50
Public Interface,"org.jfree.chart.urls.XYURLGenerator",0,0
Public Interface,"org.jfree.chart.urls.XYZURLGenerator",0,0
Public Class,"org.jfree.chart.urls.junit.CustomCategoryURLGeneratorTests",0,0
Public Class,"org.jfree.chart.urls.junit.CustomPieURLGeneratorTests",0,0
Public Class,"org.jfree.chart.urls.junit.CustomXYURLGeneratorTests",0,0
Public Class,"org.jfree.chart.urls.junit.StandardCategoryURLGeneratorTests",0,0
Public Class,"org.jfree.chart.urls.junit.StandardPieURLGeneratorTests",0,0
Public Class,"org.jfree.chart.urls.junit.StandardXYURLGeneratorTests",0,0
Public Class,"org.jfree.chart.urls.junit.TimeSeriesURLGeneratorTests",0,0
Public Class,"org.jfree.chart.urls.junit.UrlsPackageTests",0,0
Public Class,"org.jfree.chart.util.AbstractObjectList",33,59
Public Final Class,"org.jfree.chart.util.Align",0,0
Public Class,"org.jfree.chart.util.ApplicationFrame",0,0
Public Class,"org.jfree.chart.util.ArrayUtilities",0,0
Public Class,"org.jfree.chart.util.AttributedStringUtilities",0,0
Public Class,"org.jfree.chart.util.BooleanList",0,0
Public Class,"org.jfree.chart.util.DefaultShadowGenerator",43,54
Public Final Class,"org.jfree.chart.util.GradientPaintTransformType",0,20
Public Interface,"org.jfree.chart.util.GradientPaintTransformer",0,0
Public Class,"org.jfree.chart.util.HashUtilities",0,0
Public Class,"org.jfree.chart.util.HexNumberFormat",14,43
Public Final Class,"org.jfree.chart.util.HorizontalAlignment",0,20
Public Final Class,"org.jfree.chart.util.Layer",0,20
Public Final Class,"org.jfree.chart.util.LengthAdjustmentType",0,20
Public Class,"org.jfree.chart.util.LineUtilities",0,0
Public Class,"org.jfree.chart.util.LogFormat",50,68
Public Class,"org.jfree.chart.util.NumberCellRenderer",0,0
Public Class,"org.jfree.chart.util.ObjectList",0,0
Public Final Class,"org.jfree.chart.util.ObjectUtilities",47,84
Public Class,"org.jfree.chart.util.PaintList",0,0
Public Class,"org.jfree.chart.util.PaintMap",11,11
Public Class,"org.jfree.chart.util.PaintUtilities",0,0
Public Interface,"org.jfree.chart.util.PublicCloneable",0,0
Public Final Class,"org.jfree.chart.util.RectangleAnchor",29,43
Public Final Class,"org.jfree.chart.util.RectangleEdge",44,56
Public Class,"org.jfree.chart.util.RectangleInsets",34,70
Public Class,"org.jfree.chart.util.RefineryUtilities",0,0
Public Class,"org.jfree.chart.util.RelativeDateFormat",77,84
Public Class,"org.jfree.chart.util.ResourceBundleWrapper",40,40
Public Final Class,"org.jfree.chart.util.Rotation",42,50
Public Class,"org.jfree.chart.util.SerialUtilities",0,0
Public Interface,"org.jfree.chart.util.ShadowGenerator",0,0
Public Class,"org.jfree.chart.util.ShapeList",0,0
Public Class,"org.jfree.chart.util.ShapeUtilities",0,0
Public Class,"org.jfree.chart.util.Size2D",33,44
Public Final Class,"org.jfree.chart.util.SortOrder",0,20
Public Class,"org.jfree.chart.util.StandardGradientPaintTransformer",14,29
Public Class,"org.jfree.chart.util.StringUtilities",0,0
Public Class,"org.jfree.chart.util.StrokeList",0,0
Public Class,"org.jfree.chart.util.StrokeMap",11,11
Public Final Class,"org.jfree.chart.util.TableOrder",0,20
Public Final Class,"org.jfree.chart.util.UnitType",0,20
Public Final Class,"org.jfree.chart.util.VerticalAlignment",0,20
Public Final Class,"org.jfree.chart.util.XYCoordinateType",0,25
Public Class,"org.jfree.chart.util.junit.BooleanListTests",0,0
Public Class,"org.jfree.chart.util.junit.HashUtilitiesTests",0,0
Public Class,"org.jfree.chart.util.junit.LineUtilitiesTests",0,0
Public Class,"org.jfree.chart.util.junit.LogFormatTests",0,0
Public Class,"org.jfree.chart.util.junit.PaintListTests",0,0
Public Class,"org.jfree.chart.util.junit.PaintMapTests",0,0
Public Class,"org.jfree.chart.util.junit.RelativeDateFormatTests",0,0
Public Class,"org.jfree.chart.util.junit.SerialUtilitiesTests",0,0
Public Class,"org.jfree.chart.util.junit.ShapeListTests",0,0
Public Class,"org.jfree.chart.util.junit.ShapeUtilitiesTests",0,0
Public Class,"org.jfree.chart.util.junit.StrokeListTests",0,0
Public Class,"org.jfree.chart.util.junit.StrokeMapTests",0,0
Public Class,"org.jfree.chart.util.junit.UtilPackageTests",0,0
Public Class,"org.jfree.data.ComparableObjectItem",38,38
Public Class,"org.jfree.data.ComparableObjectSeries",46,68
Public Abstract Class,"org.jfree.data.DataUtilities",0,0
Public Class,"org.jfree.data.DefaultKeyedValue",31,31
Public Class,"org.jfree.data.DefaultKeyedValues",35,58
Public Class,"org.jfree.data.DefaultKeyedValues2D",39,60
Public Interface,"org.jfree.data.DomainInfo",0,0
Public Final Class,"org.jfree.data.DomainOrder",0,20
Public Class,"org.jfree.data.KeyToGroupMap",39,47
Public Class,"org.jfree.data.KeyedObject",33,33
Public Class,"org.jfree.data.KeyedObjectComparator",25,25
Public Final Class,"org.jfree.data.KeyedObjectComparatorType",0,0
Public Class,"org.jfree.data.KeyedObjects",0,22
Public Class,"org.jfree.data.KeyedObjects2D",32,47
Public Interface,"org.jfree.data.KeyedValue",0,0
Public Class,"org.jfree.data.KeyedValueComparator",25,25
Public Final Class,"org.jfree.data.KeyedValueComparatorType",0,0
Public Interface,"org.jfree.data.KeyedValues",0,0
Public Interface,"org.jfree.data.KeyedValues2D",0,0
Public Class,"org.jfree.data.Range",11,47
Public Interface,"org.jfree.data.RangeInfo",0,0
Public Final Class,"org.jfree.data.RangeType",0,20
Public Class,"org.jfree.data.SelectableValue",30,50
Public Class,"org.jfree.data.UnknownKeyException",0,0
Public Interface,"org.jfree.data.Value",0,0
Public Interface,"org.jfree.data.Values",0,0
Public Interface,"org.jfree.data.Values2D",0,0
