Kind,Name,PercentLackOfCohesion,PercentLackOfCohesionModified
Public Final Class,org.jfree.chart.plot.SeriesRenderingOrder,20,0
Public Class,org.jfree.chart.plot.SpiderWebPlot,91,86
Public Class,org.jfree.chart.plot.ThermometerPlot,94,90
Public Interface,org.jfree.chart.plot.ValueAxisPlot,0,0
Public Class,org.jfree.chart.plot.ValueMarker,17,0
Public Class,org.jfree.chart.plot.WaferMapPlot,81,63
Public Class,org.jfree.chart.plot.XYCrosshairState,0,0
Public Class,org.jfree.chart.plot.XYPlot,97,95
Public Interface,org.jfree.chart.plot.Zoomable,0,0
Public Abstract Class,org.jfree.chart.plot.dial.AbstractDialLayer,45,41
Public Class,org.jfree.chart.plot.dial.ArcDialFrame,71,65
Public Class,org.jfree.chart.plot.dial.DialBackground,46,38
Public Class,org.jfree.chart.plot.dial.DialCap,55,55
Public Interface,org.jfree.chart.plot.dial.DialFrame,0,0
Public Interface,org.jfree.chart.plot.dial.DialLayer,0,0
Public Class,org.jfree.chart.plot.dial.DialLayerChangeEvent,0,0
Public Interface,org.jfree.chart.plot.dial.DialLayerChangeListener,0,0
Public Class,org.jfree.chart.plot.dial.DialPlot,86,82
Public Abstract Class,org.jfree.chart.plot.dial.DialPointer,55,45
Public Static Class,org.jfree.chart.plot.dial.DialPointer.Pin,27,18
Public Static Class,org.jfree.chart.plot.dial.DialPointer.Pointer,44,36
Public Interface,org.jfree.chart.plot.dial.DialScale,0,0
Public Class,org.jfree.chart.plot.dial.DialTextAnnotation,68,68
Public Class,org.jfree.chart.plot.dial.DialValueIndicator,86,83
Public Class,org.jfree.chart.plot.dial.StandardDialFrame,54,54
Public Class,org.jfree.chart.plot.dial.StandardDialRange,69,64
Public Class,org.jfree.chart.plot.dial.StandardDialScale,88,86
Public Class,org.jfree.chart.plot.dial.junit.AbstractDialLayerTests,0,0
Public Class,org.jfree.chart.plot.dial.junit.ArcDialFrameTests,0,0
Public Class,org.jfree.chart.plot.dial.junit.DialBackgroundTests,0,0
Public Class,org.jfree.chart.plot.dial.junit.DialCapTests,0,0
Public Class,org.jfree.chart.plot.dial.junit.DialPackageTests,0,0
Public Class,org.jfree.chart.plot.dial.junit.DialPlotTests,50,50
Public Class,org.jfree.chart.plot.dial.junit.DialPointerTests,0,0
Public Class,org.jfree.chart.plot.dial.junit.DialTextAnnotationTests,0,0
Public Class,org.jfree.chart.plot.dial.junit.DialValueIndicatorTests,0,0
Public Class,org.jfree.chart.plot.dial.junit.MyDialLayerChangeListener,0,0
Public Class,org.jfree.chart.plot.dial.junit.StandardDialFrameTests,0,0
Public Class,org.jfree.chart.plot.dial.junit.StandardDialRangeTests,0,0
Public Class,org.jfree.chart.plot.dial.junit.StandardDialScaleTests,0,0
Public Class,org.jfree.chart.plot.junit.CategoryMarkerTests,63,63
Public Class,org.jfree.chart.plot.junit.CategoryPlotTests,0,0
Public Class,org.jfree.chart.plot.junit.CombinedDomainCategoryPlotTests,82,82
Public Class,org.jfree.chart.plot.junit.CombinedDomainXYPlotTests,83,83
Public Class,org.jfree.chart.plot.junit.CombinedRangeCategoryPlotTests,82,82
Public Class,org.jfree.chart.plot.junit.CombinedRangeXYPlotTests,82,82
Public Class,org.jfree.chart.plot.junit.CompassPlotTests,0,0
Public Class,org.jfree.chart.plot.junit.DefaultDrawingSupplierTests,0,0
Public Class,org.jfree.chart.plot.junit.FastScatterPlotTests,0,0
Public Class,org.jfree.chart.plot.junit.IntervalMarkerTests,63,63
Public Class,org.jfree.chart.plot.junit.MarkerTests,24,24
Public Class,org.jfree.chart.plot.junit.MeterIntervalTests,0,0
Public Class,org.jfree.chart.plot.junit.MeterPlotTests,0,0
Public Class,org.jfree.chart.plot.junit.MultiplePiePlotTests,88,88
Public Class,org.jfree.chart.plot.junit.MyPlotChangeListener,0,0
Public Class,org.jfree.chart.plot.junit.PieLabelRecordTests,0,0
Public Class,org.jfree.chart.plot.junit.PiePlot3DTests,0,0
Public Class,org.jfree.chart.plot.junit.PiePlotTests,0,0
Static Class,org.jfree.chart.plot.junit.PiePlotTests.NullLegendLabelGenerator,0,0
Public Class,org.jfree.chart.plot.junit.PlotOrientationTests,0,0
Public Class,org.jfree.chart.plot.junit.PlotPackageTests,0,0
Public Class,org.jfree.chart.plot.junit.PlotRenderingInfoTests,0,0
Public Class,org.jfree.chart.plot.junit.PlotTests,0,0
Public Class,org.jfree.chart.plot.junit.PolarPlotTests,0,0
Public Class,org.jfree.chart.plot.junit.RingPlotTests,0,0
Public Class,org.jfree.chart.plot.junit.SpiderWebPlotTests,0,0
Public Class,org.jfree.chart.plot.junit.ThermometerPlotTests,0,0
Public Class,org.jfree.chart.plot.junit.ValueMarkerTests,78,78
Public Class,org.jfree.chart.plot.junit.XYPlotTests,0,0
Public Abstract Class,org.jfree.chart.renderer.AbstractRenderer,96,94
Public Final Class,org.jfree.chart.renderer.AreaRendererEndType,25,0
Public Class,org.jfree.chart.renderer.DefaultPolarItemRenderer,71,58
Public Class,org.jfree.chart.renderer.GrayPaintScale,50,30
Public Class,org.jfree.chart.renderer.LookupPaintScale,57,48
Static Class,org.jfree.chart.renderer.LookupPaintScale.PaintItem,30,30
Public Class,org.jfree.chart.renderer.NotOutlierException,0,0
Public Class,org.jfree.chart.renderer.Outlier,59,36
Public Class,org.jfree.chart.renderer.OutlierList,70,59
Public Class,org.jfree.chart.renderer.OutlierListCollection,71,71
Public Interface,org.jfree.chart.renderer.PaintScale,0,0
Public Interface,org.jfree.chart.renderer.PolarItemRenderer,0,0
Public Class,org.jfree.chart.renderer.RenderAttributes,95,93
Public Class,org.jfree.chart.renderer.RendererState,0,0
Public Class,org.jfree.chart.renderer.RendererUtilities,0,0
Public Class,org.jfree.chart.renderer.WaferMapRenderer,70,52
Public Abstract Class,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,92,90
Public Class,org.jfree.chart.renderer.category.AreaRenderer,29,29
Public Interface,org.jfree.chart.renderer.category.BarPainter,0,0
Public Class,org.jfree.chart.renderer.category.BarRenderer,91,89
Public Class,org.jfree.chart.renderer.category.BarRenderer3D,65,37
Public Class,org.jfree.chart.renderer.category.BoxAndWhiskerRenderer,77,71
Public Interface,org.jfree.chart.renderer.category.CategoryItemRenderer,0,0
Public Class,org.jfree.chart.renderer.category.CategoryItemRendererState,78,78
Public Class,org.jfree.chart.renderer.category.CategoryStepRenderer,56,33
Protected Static Class,org.jfree.chart.renderer.category.CategoryStepRenderer.State,0,0
Public Class,org.jfree.chart.renderer.category.DefaultCategoryItemRenderer,0,0
Public Class,org.jfree.chart.renderer.category.GanttRenderer,69,50
Public Class,org.jfree.chart.renderer.category.GradientBarPainter,56,44
Public Class,org.jfree.chart.renderer.category.GroupedStackedBarRenderer,0,0
Public Class,org.jfree.chart.renderer.category.IntervalBarRenderer,0,0
Public Class,org.jfree.chart.renderer.category.LayeredBarRenderer,57,14
Public Class,org.jfree.chart.renderer.category.LevelRenderer,58,31
Public Class,org.jfree.chart.renderer.category.LineAndShapeRenderer,85,79
Public Class,org.jfree.chart.renderer.category.LineRenderer3D,58,44
Public Class,org.jfree.chart.renderer.category.MinMaxCategoryRenderer,82,82
Anonymous Class,org.jfree.chart.renderer.category.MinMaxCategoryRenderer.getIcon.(Anon_1),0,0
Anonymous Class,org.jfree.chart.renderer.category.MinMaxCategoryRenderer.getIcon.(Anon_2),0,0
Public Class,org.jfree.chart.renderer.category.ScatterRenderer,77,73
Public Class,org.jfree.chart.renderer.category.StackedAreaRenderer,50,42
Public Class,org.jfree.chart.renderer.category.StackedBarRenderer,33,22
Public Class,org.jfree.chart.renderer.category.StackedBarRenderer3D,64,58
Public Class,org.jfree.chart.renderer.category.StandardBarPainter,0,0
Public Class,org.jfree.chart.renderer.category.StatisticalBarRenderer,33,25
Public Class,org.jfree.chart.renderer.category.StatisticalLineAndShapeRenderer,38,29
Public Class,org.jfree.chart.renderer.category.WaterfallBarRenderer,60,47
Public Class,org.jfree.chart.renderer.category.junit.AbstractCategoryItemRendererTests,0,0
Public Class,org.jfree.chart.renderer.category.junit.AreaRendererTests,0,0
Public Class,org.jfree.chart.renderer.category.junit.BarRenderer3DTests,0,0
Public Class,org.jfree.chart.renderer.category.junit.BarRendererTests,0,0
Public Class,org.jfree.chart.renderer.category.junit.BoxAndWhiskerRendererTests,0,0
Anonymous Class,org.jfree.chart.renderer.category.junit.BoxAndWhiskerRendererTests.testBug1572478Horizontal.(Anon_2),0,0
Anonymous Class,org.jfree.chart.renderer.category.junit.BoxAndWhiskerRendererTests.testBug1572478Vertical.(Anon_1),0,0
Public Class,org.jfree.chart.renderer.category.junit.CategoryStepRendererTests,0,0
Public Class,org.jfree.chart.renderer.category.junit.DefaultCategoryItemRendererTests,0,0
Public Class,org.jfree.chart.renderer.category.junit.GanttRendererTests,0,0
Public Class,org.jfree.chart.renderer.category.junit.GradientBarPainterTests,0,0
Public Class,org.jfree.chart.renderer.category.junit.GroupedStackedBarRendererTests,0,0
Public Class,org.jfree.chart.renderer.category.junit.IntervalBarRendererTests,0,0
Public Class,org.jfree.chart.renderer.category.junit.LayeredBarRendererTests,0,0
Public Class,org.jfree.chart.renderer.category.junit.LevelRendererTests,0,0
Public Class,org.jfree.chart.renderer.category.junit.LineAndShapeRendererTests,0,0
Public Class,org.jfree.chart.renderer.category.junit.LineRenderer3DTests,0,0
Public Class,org.jfree.chart.renderer.category.junit.MinMaxCategoryRendererTests,0,0
Public Class,org.jfree.chart.renderer.category.junit.RendererCategoryPackageTests,0,0
Public Class,org.jfree.chart.renderer.category.junit.ScatterRendererTests,0,0
Public Class,org.jfree.chart.renderer.category.junit.StackedAreaRendererTests,0,0
Public Class,org.jfree.chart.renderer.category.junit.StackedBarRenderer3DTests,0,0
Static Class,org.jfree.chart.renderer.category.junit.StackedBarRenderer3DTests.MyRenderer,0,0
Public Class,org.jfree.chart.renderer.category.junit.StackedBarRendererTests,0,0
Public Class,org.jfree.chart.renderer.category.junit.StandardBarPainterTests,0,0
Public Class,org.jfree.chart.renderer.category.junit.StatisticalBarRendererTests,0,0
Public Class,org.jfree.chart.renderer.category.junit.StatisticalLineAndShapeRendererTests,0,0
Public Class,org.jfree.chart.renderer.category.junit.WaterfallBarRendererTests,0,0
Public Class,org.jfree.chart.renderer.junit.AbstractRendererTests,0,0
Static Class,org.jfree.chart.renderer.junit.AbstractRendererTests.MyRendererChangeListener,0,0
Public Class,org.jfree.chart.renderer.junit.AreaRendererEndTypeTests,0,0
Public Class,org.jfree.chart.renderer.junit.DefaultPolarItemRendererTests,0,0
Public Class,org.jfree.chart.renderer.junit.GrayPaintScaleTests,0,0
Public Class,org.jfree.chart.renderer.junit.LookupPaintScaleTests,0,0
Public Class,org.jfree.chart.renderer.junit.OutlierTests,0,0
Public Class,org.jfree.chart.renderer.junit.RendererChangeDetector,0,0
Public Class,org.jfree.chart.renderer.junit.RendererPackageTests,0,0
Public Class,org.jfree.chart.renderer.junit.RendererUtilitiesTests,0,0
Anonymous Class,org.jfree.chart.renderer.junit.RendererUtilitiesTests.testFindLiveItemsLowerBound_Ascending.(Anon_1),0,0
Anonymous Class,org.jfree.chart.renderer.junit.RendererUtilitiesTests.testFindLiveItemsLowerBound_Descending.(Anon_2),0,0
Anonymous Class,org.jfree.chart.renderer.junit.RendererUtilitiesTests.testFindLiveItemsUpperBound_Ascending.(Anon_3),0,0
Anonymous Class,org.jfree.chart.renderer.junit.RendererUtilitiesTests.testFindLiveItemsUpperBound_Descending.(Anon_4),0,0
Public Abstract Class,org.jfree.chart.renderer.xy.AbstractXYItemRenderer,91,88
Public Class,org.jfree.chart.renderer.xy.CandlestickRenderer,85,81
Public Class,org.jfree.chart.renderer.xy.ClusteredXYBarRenderer,50,38
Public Class,org.jfree.chart.renderer.xy.CyclicXYItemRenderer,0,0
Protected Static Class,org.jfree.chart.renderer.xy.CyclicXYItemRenderer.OverwriteDataSet,76,71
Public Class,org.jfree.chart.renderer.xy.DefaultXYItemRenderer,0,0
Public Class,org.jfree.chart.renderer.xy.DeviationRenderer,58,50
Public Static Class,org.jfree.chart.renderer.xy.DeviationRenderer.State,0,0
Public Class,org.jfree.chart.renderer.xy.GradientXYBarPainter,56,44
Public Class,org.jfree.chart.renderer.xy.HighLowRenderer,72,68
Public Class,org.jfree.chart.renderer.xy.SamplingXYLineRenderer,38,38
Public Static Class,org.jfree.chart.renderer.xy.SamplingXYLineRenderer.State,83,83
Public Class,org.jfree.chart.renderer.xy.StackedXYAreaRenderer,69,63
Static Class,org.jfree.chart.renderer.xy.StackedXYAreaRenderer.StackedXYAreaRendererState,66,66
Public Class,org.jfree.chart.renderer.xy.StackedXYAreaRenderer2,58,50
Public Class,org.jfree.chart.renderer.xy.StackedXYBarRenderer,30,20
Public Class,org.jfree.chart.renderer.xy.StandardXYBarPainter,0,0
Public Class,org.jfree.chart.renderer.xy.StandardXYItemRenderer,85,76
Public Static Class,org.jfree.chart.renderer.xy.StandardXYItemRenderer.State,73,73
Public Class,org.jfree.chart.renderer.xy.VectorRenderer,67,67
Public Class,org.jfree.chart.renderer.xy.WindItemRenderer,0,0
Public Class,org.jfree.chart.renderer.xy.XYAreaRenderer,77,66
Static Class,org.jfree.chart.renderer.xy.XYAreaRenderer.XYAreaRendererState,0,0
Public Class,org.jfree.chart.renderer.xy.XYAreaRenderer2,50,38
Public Interface,org.jfree.chart.renderer.xy.XYBarPainter,0,0
Public Class,org.jfree.chart.renderer.xy.XYBarRenderer,90,86
Protected Class,org.jfree.chart.renderer.xy.XYBarRenderer.XYBarRendererState,33,33
Public Class,org.jfree.chart.renderer.xy.XYBlockRenderer,69,50
Public Class,org.jfree.chart.renderer.xy.XYBoxAndWhiskerRenderer,77,62
Public Class,org.jfree.chart.renderer.xy.XYBubbleRenderer,57,29
Public Class,org.jfree.chart.renderer.xy.XYDifferenceRenderer,78,65
Public Class,org.jfree.chart.renderer.xy.XYDotRenderer,59,56
Public Class,org.jfree.chart.renderer.xy.XYErrorRenderer,66,66
Public Interface,org.jfree.chart.renderer.xy.XYItemRenderer,0,0
Public Class,org.jfree.chart.renderer.xy.XYItemRendererState,80,80
Public Class,org.jfree.chart.renderer.xy.XYLine3DRenderer,69,62
Public Class,org.jfree.chart.renderer.xy.XYLineAndShapeRenderer,88,81
Public Static Class,org.jfree.chart.renderer.xy.XYLineAndShapeRenderer.State,50,50
Public Class,org.jfree.chart.renderer.xy.XYShapeRenderer,77,75
Public Class,org.jfree.chart.renderer.xy.XYSplineRenderer,56,50
Class,org.jfree.chart.renderer.xy.XYSplineRenderer.ControlPoint,25,25
Public Class,org.jfree.chart.renderer.xy.XYStepAreaRenderer,82,72
Public Class,org.jfree.chart.renderer.xy.XYStepRenderer,56,44
Public Class,org.jfree.chart.renderer.xy.YIntervalRenderer,38,25
Public Class,org.jfree.chart.renderer.xy.junit.AbstractXYItemRendererTests,0,0
Public Class,org.jfree.chart.renderer.xy.junit.CandlestickRendererTests,0,0
Public Class,org.jfree.chart.renderer.xy.junit.ClusteredXYBarRendererTests,0,0
Public Class,org.jfree.chart.renderer.xy.junit.DeviationRendererTests,0,0
Public Class,org.jfree.chart.renderer.xy.junit.GradientXYBarPainterTests,0,0
Public Class,org.jfree.chart.renderer.xy.junit.HighLowRendererTests,0,0
Public Class,org.jfree.chart.renderer.xy.junit.RendererXYPackageTests,0,0
Public Class,org.jfree.chart.renderer.xy.junit.StackedXYAreaRenderer2Tests,0,0
Public Class,org.jfree.chart.renderer.xy.junit.StackedXYAreaRendererTests,0,0
Public Class,org.jfree.chart.renderer.xy.junit.StackedXYBarRendererTests,0,0
Public Class,org.jfree.chart.renderer.xy.junit.StandardXYBarPainterTests,0,0
Public Class,org.jfree.chart.renderer.xy.junit.StandardXYItemRendererTests,0,0
Public Class,org.jfree.chart.renderer.xy.junit.VectorRendererTests,0,0
Public Class,org.jfree.chart.renderer.xy.junit.WindItemRendererTests,0,0
Public Class,org.jfree.chart.renderer.xy.junit.XYAreaRenderer2Tests,0,0
Public Class,org.jfree.chart.renderer.xy.junit.XYAreaRendererTests,0,0
Public Class,org.jfree.chart.renderer.xy.junit.XYBarRendererTests,0,0
Public Class,org.jfree.chart.renderer.xy.junit.XYBlockRendererTests,0,0
Public Class,org.jfree.chart.renderer.xy.junit.XYBoxAndWhiskerRendererTests,0,0
Public Class,org.jfree.chart.renderer.xy.junit.XYBubbleRendererTests,0,0
Public Class,org.jfree.chart.renderer.xy.junit.XYDifferenceRendererTests,0,0
Public Class,org.jfree.chart.renderer.xy.junit.XYDotRendererTests,0,0
Public Class,org.jfree.chart.renderer.xy.junit.XYErrorRendererTests,0,0
Public Class,org.jfree.chart.renderer.xy.junit.XYLine3DRendererTests,0,0
Public Class,org.jfree.chart.renderer.xy.junit.XYLineAndShapeRendererTests,0,0
Public Class,org.jfree.chart.renderer.xy.junit.XYShapeRendererTests,0,0
Public Class,org.jfree.chart.renderer.xy.junit.XYSplineRendererTests,0,0
Public Class,org.jfree.chart.renderer.xy.junit.XYStepAreaRendererTests,0,0
Public Class,org.jfree.chart.renderer.xy.junit.XYStepRendererTests,0,0
Public Class,org.jfree.chart.renderer.xy.junit.YIntervalRendererTests,0,0
Public Class,org.jfree.chart.resources.JFreeChartResources,0,0
Public Class,org.jfree.chart.servlet.ChartDeleter,40,40
Public Class,org.jfree.chart.servlet.DisplayChart,0,0
Public Class,org.jfree.chart.servlet.ServletUtilities,71,57
Public Class,org.jfree.chart.text.G2TextMeasurer,0,0
Public Final Class,org.jfree.chart.text.TextAnchor,20,0
Public Class,org.jfree.chart.text.TextBlock,57,43
Public Final Class,org.jfree.chart.text.TextBlockAnchor,20,0
Public Class,org.jfree.chart.text.TextBox,71,63
Public Class,org.jfree.chart.text.TextFragment,62,42
Public Class,org.jfree.chart.text.TextLine,8,0
Public Interface,org.jfree.chart.text.TextMeasurer,0,0
Public Class,org.jfree.chart.text.TextUtilities,85,57
Public Class,org.jfree.chart.title.CompositeTitle,46,29
Public Class,org.jfree.chart.title.DateTitle,0,0
Public Class,org.jfree.chart.title.ImageTitle,36,0
Public Class,org.jfree.chart.title.LegendGraphic,85,82
Public Class,org.jfree.chart.title.LegendItemBlockContainer,69,63
Public Class,org.jfree.chart.title.LegendTitle,85,77
Public Class,org.jfree.chart.title.PaintScaleLegend,80,75
Public Class,org.jfree.chart.title.ShortTextTitle,0,0
Public Class,org.jfree.chart.title.TextTitle,81,66
Public Abstract Class,org.jfree.chart.title.Title,76,60
Public Class,org.jfree.chart.title.junit.CompositeTitleTests,0,0
Public Class,org.jfree.chart.title.junit.DateTitleTests,0,0
Public Class,org.jfree.chart.title.junit.ImageTitleTests,0,0
Public Class,org.jfree.chart.title.junit.LegendGraphicTests,0,0
Public Class,org.jfree.chart.title.junit.LegendTitleTests,0,0
Public Class,org.jfree.chart.title.junit.PaintScaleLegendTests,0,0
Public Class,org.jfree.chart.title.junit.ShortTextTitleTests,0,0
Public Class,org.jfree.chart.title.junit.TextTitleTests,0,0
Public Class,org.jfree.chart.title.junit.TitlePackageTests,0,0
Public Class,org.jfree.chart.title.junit.TitleTests,0,0
Public Class,org.jfree.chart.ui.BasicProjectInfo,79,67
Private Static Class,org.jfree.chart.ui.BasicProjectInfo.OptionalLibraryHolder,40,40
Public Class,org.jfree.chart.ui.Contributor,33,33
Public Class,org.jfree.chart.ui.ExtensionFileFilter,33,33
Public Class,org.jfree.chart.ui.FontChooserPanel,57,43
Public Class,org.jfree.chart.ui.FontDisplayField,50,25
Public Class,org.jfree.chart.ui.LCBLayout,50,50
Public Class,org.jfree.chart.ui.Library,71,71
Public Class,org.jfree.chart.ui.Licences,67,67
Public Class,org.jfree.chart.ui.PaintSample,40,40
Public Class,org.jfree.chart.ui.ProjectInfo,67,63
Public Class,org.jfree.chart.ui.StrokeChooserPanel,0,0
Anonymous Class,org.jfree.chart.ui.StrokeChooserPanel.StrokeChooserPanel.(Anon_1),0,0
Public Class,org.jfree.chart.ui.StrokeSample,50,42
Public Interface,org.jfree.chart.urls.CategoryURLGenerator,0,0
Public Class,org.jfree.chart.urls.CustomCategoryURLGenerator,38,13
Public Class,org.jfree.chart.urls.CustomPieURLGenerator,13,0
Public Class,org.jfree.chart.urls.CustomXYURLGenerator,38,13
Public Interface,org.jfree.chart.urls.PieURLGenerator,0,0
Public Class,org.jfree.chart.urls.StandardCategoryURLGenerator,28,28
Public Class,org.jfree.chart.urls.StandardPieURLGenerator,50,0
Public Class,org.jfree.chart.urls.StandardXYURLGenerator,40,0
Public Class,org.jfree.chart.urls.StandardXYZURLGenerator,0,0
Public Class,org.jfree.chart.urls.TimeSeriesURLGenerator,50,50
Public Interface,org.jfree.chart.urls.XYURLGenerator,0,0
Public Interface,org.jfree.chart.urls.XYZURLGenerator,0,0
Public Class,org.jfree.chart.urls.junit.CustomCategoryURLGeneratorTests,0,0
Public Class,org.jfree.chart.urls.junit.CustomPieURLGeneratorTests,0,0
Public Class,org.jfree.chart.urls.junit.CustomXYURLGeneratorTests,0,0
Public Class,org.jfree.chart.urls.junit.StandardCategoryURLGeneratorTests,0,0
Public Class,org.jfree.chart.urls.junit.StandardPieURLGeneratorTests,0,0
Public Class,org.jfree.chart.urls.junit.StandardXYURLGeneratorTests,0,0
Public Class,org.jfree.chart.urls.junit.TimeSeriesURLGeneratorTests,0,0
Public Class,org.jfree.chart.urls.junit.UrlsPackageTests,0,0
Public Class,org.jfree.chart.util.AbstractObjectList,59,33
Public Final Class,org.jfree.chart.util.Align,0,0
Public Class,org.jfree.chart.util.ApplicationFrame,0,0
Public Class,org.jfree.chart.util.ArrayUtilities,0,0
Public Class,org.jfree.chart.util.AttributedStringUtilities,0,0
Public Class,org.jfree.chart.util.BooleanList,0,0
Public Class,org.jfree.chart.util.DefaultShadowGenerator,54,43
Public Final Class,org.jfree.chart.util.GradientPaintTransformType,20,0
Public Interface,org.jfree.chart.util.GradientPaintTransformer,0,0
Public Class,org.jfree.chart.util.HashUtilities,0,0
Public Class,org.jfree.chart.util.HexNumberFormat,43,14
Public Final Class,org.jfree.chart.util.HorizontalAlignment,20,0
Public Final Class,org.jfree.chart.util.Layer,20,0
Public Final Class,org.jfree.chart.util.LengthAdjustmentType,20,0
Public Class,org.jfree.chart.util.LineUtilities,0,0
Public Class,org.jfree.chart.util.LogFormat,68,50
Public Class,org.jfree.chart.util.NumberCellRenderer,0,0
Public Class,org.jfree.chart.util.ObjectList,0,0
Public Final Class,org.jfree.chart.util.ObjectUtilities,84,47
Public Class,org.jfree.chart.util.PaintList,0,0
Public Class,org.jfree.chart.util.PaintMap,11,11
Public Class,org.jfree.chart.util.PaintUtilities,0,0
Public Interface,org.jfree.chart.util.PublicCloneable,0,0
Public Final Class,org.jfree.chart.util.RectangleAnchor,43,29
Public Final Class,org.jfree.chart.util.RectangleEdge,56,44
Public Class,org.jfree.chart.util.RectangleInsets,70,34
Public Class,org.jfree.chart.util.RefineryUtilities,0,0
Public Class,org.jfree.chart.util.RelativeDateFormat,84,77
Public Class,org.jfree.chart.util.ResourceBundleWrapper,40,40
Public Final Class,org.jfree.chart.util.Rotation,50,42
Public Class,org.jfree.chart.util.SerialUtilities,0,0
Public Interface,org.jfree.chart.util.ShadowGenerator,0,0
Public Class,org.jfree.chart.util.ShapeList,0,0
Public Class,org.jfree.chart.util.ShapeUtilities,0,0
Public Class,org.jfree.chart.util.Size2D,44,33
Public Final Class,org.jfree.chart.util.SortOrder,20,0
Public Class,org.jfree.chart.util.StandardGradientPaintTransformer,29,14
Public Class,org.jfree.chart.util.StringUtilities,0,0
Public Class,org.jfree.chart.util.StrokeList,0,0
Public Class,org.jfree.chart.util.StrokeMap,11,11
Public Final Class,org.jfree.chart.util.TableOrder,20,0
Public Final Class,org.jfree.chart.util.UnitType,20,0
Public Final Class,org.jfree.chart.util.VerticalAlignment,20,0
Public Final Class,org.jfree.chart.util.XYCoordinateType,25,0
Public Class,org.jfree.chart.util.junit.BooleanListTests,0,0
Public Class,org.jfree.chart.util.junit.HashUtilitiesTests,0,0
Public Class,org.jfree.chart.util.junit.LineUtilitiesTests,0,0
Public Class,org.jfree.chart.util.junit.LogFormatTests,0,0
Public Class,org.jfree.chart.util.junit.PaintListTests,0,0
Public Class,org.jfree.chart.util.junit.PaintMapTests,0,0
Public Class,org.jfree.chart.util.junit.RelativeDateFormatTests,0,0
Public Class,org.jfree.chart.util.junit.SerialUtilitiesTests,0,0
Public Class,org.jfree.chart.util.junit.ShapeListTests,0,0
Public Class,org.jfree.chart.util.junit.ShapeUtilitiesTests,0,0
Public Class,org.jfree.chart.util.junit.StrokeListTests,0,0
Public Class,org.jfree.chart.util.junit.StrokeMapTests,0,0
Public Class,org.jfree.chart.util.junit.UtilPackageTests,0,0
Public Class,org.jfree.data.ComparableObjectItem,38,38
Public Class,org.jfree.data.ComparableObjectSeries,68,46
Public Abstract Class,org.jfree.data.DataUtilities,0,0
Public Class,org.jfree.data.DefaultKeyedValue,31,31
Public Class,org.jfree.data.DefaultKeyedValues,58,35
Public Class,org.jfree.data.DefaultKeyedValues2D,60,39
Public Interface,org.jfree.data.DomainInfo,0,0
Public Final Class,org.jfree.data.DomainOrder,20,0
Public Class,org.jfree.data.KeyToGroupMap,47,39
Public Class,org.jfree.data.KeyedObject,33,33
Public Class,org.jfree.data.KeyedObjectComparator,25,25
Public Final Class,org.jfree.data.KeyedObjectComparatorType,0,0
Public Class,org.jfree.data.KeyedObjects,22,0
Public Class,org.jfree.data.KeyedObjects2D,47,32
Public Interface,org.jfree.data.KeyedValue,0,0
Public Class,org.jfree.data.KeyedValueComparator,25,25
Public Final Class,org.jfree.data.KeyedValueComparatorType,0,0
Public Interface,org.jfree.data.KeyedValues,0,0
Public Interface,org.jfree.data.KeyedValues2D,0,0
Public Class,org.jfree.data.Range,47,11
Public Interface,org.jfree.data.RangeInfo,0,0
Public Final Class,org.jfree.data.RangeType,20,0
Public Class,org.jfree.data.SelectableValue,50,30
Public Class,org.jfree.data.UnknownKeyException,0,0
Public Interface,org.jfree.data.Value,0,0
Public Interface,org.jfree.data.Values,0,0
Public Interface,org.jfree.data.Values2D,0,0
Public Class,org.jfree.data.category.AbstractCategoryDataset,33,33
Public Interface,org.jfree.data.category.CategoryDataset,0,0
Public Interface,org.jfree.data.category.CategoryDatasetSelectionState,0,0
Public Interface,org.jfree.data.category.CategoryRangeInfo,0,0
Public Class,org.jfree.data.category.CategoryToPieDataset,44,36
Public Class,org.jfree.data.category.DefaultCategoryDataset,23,10
Public Class,org.jfree.data.category.DefaultIntervalCategoryDataset,77,51
Public Interface,org.jfree.data.category.IntervalCategoryDataset,0,0
Public Interface,org.jfree.data.category.SelectableCategoryDataset,0,0
Public Class,org.jfree.data.category.SlidingCategoryDataset,46,37
Public Class,org.jfree.data.category.junit.CategoryToPieDatasetTests,0,0
Public Class,org.jfree.data.category.junit.DataCategoryPackageTests,0,0
Public Class,org.jfree.data.category.junit.DefaultCategoryDatasetTests,0,0
Public Class,org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests,0,0
Public Class,org.jfree.data.category.junit.SlidingCategoryDatasetTests,0,0
Public Class,org.jfree.data.event.DatasetChangeEvent,33,33
Public Interface,org.jfree.data.event.DatasetChangeListener,0,0
Public Class,org.jfree.data.event.SeriesChangeEvent,25,0
Public Interface,org.jfree.data.event.SeriesChangeListener,0,0
Public Interface,org.jfree.data.function.Function2D,0,0
Public Class,org.jfree.data.function.LineFunction2D,17,17
Public Class,org.jfree.data.function.NormalDistributionFunction2D,46,46
Public Class,org.jfree.data.function.PolynomialFunction2D,0,0
Public Class,org.jfree.data.function.PowerFunction2D,17,17
Public Class,org.jfree.data.function.junit.DataFunctionPackageTests,0,0
